gene,logFC,logCPM,F,PValue,FDR,t
ENSG00000000003.14,0.8347332373000408,5.429441131916896,9.603589581189723,0.016340133070819354,0.4708932006487083,3.0989658890006715
ENSG00000000419.12,0.15451744142915094,6.548415705373511,1.0263657285243242,0.34323596265882694,0.8958893317779916,1.013097097283535
ENSG00000000457.13,0.23834371523104148,3.250484900409961,0.8401308242791924,0.3884789992163524,0.9086148938973488,0.9165865067080098
ENSG00000000460.16,-0.1657169974827688,4.332135166197979,0.4278384820336221,0.5330009348779354,0.9385521398585901,-0.6540936339956399
ENSG00000001036.13,0.24401330537807447,6.893225182340116,2.2532976041706445,0.17506004340919099,0.8513118082523164,1.50109879893718
ENSG00000001084.11,0.630383520470727,2.1183791748619973,2.650297993614403,0.14556405554538276,0.849507122290473,1.627973585048112
ENSG00000001167.14,0.1951572763666573,5.464511435305447,0.8840089616614629,0.3770079975925863,0.9062454473491213,0.94021750763398515
ENSG00000001460.17,0.06745366708439486,4.220061344637614,0.030517914246635514,0.866041333240969,0.9841505106805063,0.17469377277577902
ENSG00000001461.16,0.6308369091626267,4.555389072499862,4.865508151680973,0.06142904631806551,0.6805236580637415,2.2057896889053072
ENSG00000001497.16,-0.2248277962497102,6.72221842209974,1.5983968980465775,0.24479258879575921,0.8706710996091007,-1.2642772235734445
ENSG00000001561.6,0.6718920347091545,3.6066099288947564,1.8660433745280822,0.2123047372787641,0.8706710996091007,1.3660319815173003
ENSG00000001617.11,-0.7733852921466621,1.302398892830186,2.2104538003648653,0.1787154144840599,0.8513118082523164,-1.4867594964771085
ENSG00000001629.9,-0.04613238359110899,4.2368217381841795,0.05615878368579661,0.819151626852719,0.9821955318558986,-0.2369784456143567
ENSG00000001630.15,0.11715312117751159,8.15086860004018,0.5762516570992192,0.47145363392248185,0.922428633414512,0.7591124140067921
ENSG00000001631.15,-0.14545109137676915,4.921060876635731,0.4150434613189959,0.5390230391003037,0.9399643918707531,-0.6442386679787203
